Codigo,Titulo_EN,Titulo_ES,Pasos_EN,Pasos_ES,Documento_PDF,Pagina
F203,MV overtemperature,Sobretemperatura MT,Check Log_3 of the SD of the inverter and check if the temperature increase is real or it was a noise problem in the temperature measurement. Check the fault configuration. Check the status of the transformer cabinet fans using PowerCommsV[cite: 9].,Revise el Log_3 de la SD del inversor y verifique si el aumento de temperatura es real o si fue un problema de ruido en la medición de temperatura. Revise la configuración de la falla. Revise el estado de los ventiladores del gabinete del transformador usando PowerCommsV[cite: 9].,manual_hem3.pdf,190
F40,Internal overtemperature,Sobretemperatura interna,Check the logs of the SD and check the temperature displayed if the temperature rises progressively and without ripple it is a real overtemperature. Check if the temperatures of the rest of the electronic boards in the area have also an excessively high temperature[cite: 9].,Revise los registros de la SD y verifique la temperatura mostrada si la temperatura sube progresivamente y sin rizado es una sobretemperatura real. Verifique si las temperaturas del resto de las tarjetas electrónicas en la zona también tienen una temperatura excesivamente alta[cite: 9].,manual_hem3.pdf,192
F55,External fault/OVGR,Falla externa/OVGR,Consult the customer if he has triggered the external emergency fault. If the customer has not triggered the external emergency fault voluntarily jumper the external emergency fault terminal block[cite: 9].,Consulte al cliente si ha activado la falla de emergencia externa. Si el cliente no ha activado la falla de emergencia externa voluntariamente puentee el bloque de terminales de falla de emergencia externa[cite: 9].,manual_hem3.pdf,194
F103,IGBTs temperature,Temperatura IGBTs,Check whether the temperature readings of the IGBTs have reached the threshold configured in the temperature protection group. Check the fan settings for PowerCommsV. Check that all fans are rotating at the configured setpoint[cite: 9].,Revise si las lecturas de temperatura de los IGBTs han alcanzado el umbral configurado en el grupo de protección de temperatura. Revise la configuración de ventiladores en PowerCommsV. Verifique que todos los ventiladores estén rotando a la consigna configurada[cite: 9].,manual_hem3.pdf,197
F27,Modules start fault,Falla de arranque de módulos,Check the module statuses the warning history and the module status in the SD to see which fault has triggered the modules and act according to the fault. Check the warning history and the SD to see what caused the modules to be disabled[cite: 9].,Revise los estados de los módulos el historial de advertencias y el estado del módulo en la SD para ver qué falla activó los módulos y actúe de acuerdo a la falla. Revise el historial de advertencias y la SD para ver qué causó que los módulos se deshabilitaran[cite: 9].,manual_hem3.pdf,200
F112,OCAC emergency,Emergencia OCAC,Check if there is any justifiable cause for the overcurrent thresholds of the FRU stage not being the default ones. Check that the parameterisation of the inverters control loops is set to its default values. Download the Blackbox file and analyse it[cite: 9].,Verifique si hay alguna causa justificable para que los umbrales de sobrecorriente de la etapa FRU no sean los predeterminados. Revise que la parametrización de los lazos de control del inversor esté en sus valores predeterminados. Descargue el archivo Blackbox y analícelo[cite: 9].,manual_hem3.pdf,201
F25,Low Vdc,Vdc Bajo,Check that the fault threshold is at its default value. Check if any of the power modules or external buses of the inverter have any short circuit hot spot foreign body or point of the module with presence of water[cite: 9].,Revise que el umbral de falla esté en su valor predeterminado. Verifique si alguno de los módulos de potencia o buses externos del inversor tiene algún cortocircuito punto caliente cuerpo extraño o punto del módulo con presencia de agua[cite: 9].,manual_hem3.pdf,205
F48,Internal comms,Comms internas,Check that the software versions of each device correspond to those of the software package installed in PowerCommV. Reinstall the uP and DSP. If fault still occurs replace main central control board E35[cite: 9].,Verifique que las versiones de software de cada dispositivo correspondan a las del paquete de software instalado en PowerCommV. Reinstale el uP y el DSP. Si la falla persiste reemplace la tarjeta de control central principal E35[cite: 9].,manual_hem3.pdf,210
F130,Softcharge Feedback,Retroalimentación Carga Suave,Check that 24Vdc is supplied by means of a 1500V multimeter in Vdc mode at terminals X25 5 1 and X25 1 1. Verify that the contactors open and close correctly by measuring continuity between the input and output[cite: 9].,Revise que se suministren 24Vdc mediante un multímetro de 1500V en modo Vdc en las terminales X25 5 1 y X25 1 1. Verifique que los contactores abran y cierren correctamente midiendo la continuidad entre la entrada y la salida[cite: 9].,manual_hem3.pdf,211
F58,Control SW mismatch,Desajuste SW de Control,Check that the software versions of each device correspond to those of the software package installed in PowerCommV. If the inverter still fails load the software package manually by connecting directly to the uP and DSP devices[cite: 9].,Verifique que las versiones de software de cada dispositivo correspondan a las del paquete de software instalado en PowerCommV. Si el inversor sigue fallando cargue el paquete de software manualmente conectándose directamente a los dispositivos uP y DSP[cite: 9].,manual_hem3.pdf,217
F13,No modules,Sin modulos,All modules have reported a warning or fault code. Review via PowerCommsV the module fault and warning history to detect the fault occurred.,Todos los modulos han reportado un codigo de advertencia o falla. Revise a traves de PowerCommsV el historial de fallas y advertencias del modulo para detectar la falla ocurrida.,manual_hem3.pdf,218
F83,Multiple desaturation,Desaturacion multiple,Several of the IGBT have reported desaturation. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Varios de los IGBT han reportado desaturacion. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,219
F84,Comunications,Comunicaciones,There is a communication frame lost between the FPGA of the main control board and the FPGA of the module board. Check the 24Vdc power supply of the FPGA module board and check that the optical fibers are not damaged.,Hay una perdida de trama de comunicacion entre el FPGA de la tarjeta de control principal y el FPGA de la tarjeta del modulo. Revise la alimentacion de 24Vdc de la tarjeta FPGA del modulo y verifique que las fibras opticas no esten danadas.,manual_hem3.pdf,224
F71,Desaturation R1(H),Desaturacion R1(H),A desaturation has been triggered in one of the IGBT outers. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT externos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,230
F72,Desaturation R2(H),Desaturacion R2(H),A desaturation has been triggered in one of the IGBT outers. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT externos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,230
F73,Desaturation R2(L),Desaturacion R2(L),A desaturation has been triggered in one of the IGBT outers. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT externos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,230
F74,Desaturation R3(L),Desaturacion R3(L),A desaturation has been triggered in one of the IGBT outers. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT externos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,230
F75,Desaturation S1(H),Desaturacion S1(H),A desaturation has been triggered in one of the IGBT outers. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT externos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,230
F76,Desaturation S2(H),Desaturacion S2(H),A desaturation has been triggered in one of the IGBT outers. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT externos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,230
F77,Desaturation S2(L),Desaturacion S2(L),A desaturation has been triggered in one of the IGBT outers. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT externos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,230
F78,Desaturation S3(L),Desaturacion S3(L),A desaturation has been triggered in one of the IGBT outers. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT externos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,230
F79,Desaturation T1(H),Desaturacion T1(H),A desaturation has been triggered in one of the IGBT outers. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT externos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,230
F80,Desaturation T2(H),Desaturacion T2(H),A desaturation has been triggered in one of the IGBT outers. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT externos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,230
F81,Desaturation T2(L),Desaturacion T2(L),A desaturation has been triggered in one of the IGBT outers. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT externos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,230
F82,Desaturation T3(L),Desaturacion T3(L),A desaturation has been triggered in one of the IGBT outers. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT externos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,230
F119,Desaturation R1(L),Desaturacion R1(L),A desaturation has been triggered in one of the IGBT inners. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT internos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,235
F120,Desaturation R3(H),Desaturacion R3(H),A desaturation has been triggered in one of the IGBT inners. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT internos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,235
F121,Desaturation S1(L),Desaturacion S1(L),A desaturation has been triggered in one of the IGBT inners. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT internos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,235
F122,Desaturation S3(H),Desaturacion S3(H),A desaturation has been triggered in one of the IGBT inners. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT internos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,235
F123,Desaturation T1(L),Desaturacion T1(L),A desaturation has been triggered in one of the IGBT inners. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT internos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,235
F124,Desaturation T3(H),Desaturacion T3(H),A desaturation has been triggered in one of the IGBT inners. Adjust the minimum Vdc voltage and the minimum MPPT voltage correctly. Technically check with 1500V multimeter the IGBT and replace any damaged IGBTs.,Se ha activado una desaturacion en uno de los IGBT internos. Ajuste correctamente el voltaje minimo Vdc y el voltaje minimo MPPT. Verifique tecnicamente con un multimetro de 1500V los IGBT y reemplace cualquier IGBT danado.,manual_hem3.pdf,235
F5,High Vac,Alto Vac,Check that the nominal frequency and nominal voltage match the inverter frame and country regulations. Check that the configuration of group G5 Protections is in accordance with the default country standard.,Verifique que la frecuencia nominal y el voltaje nominal coincidan con el marco del inversor y las regulaciones del pais. Verifique que la configuracion del grupo G5 Protecciones este de acuerdo con el estandar predeterminado del pais.,manual_hem3.pdf,239
F6,Low Vac,Bajo Vac,Check that the nominal frequency and nominal voltage match the inverter frame and country regulations. Check that the configuration of group G5 Protections is in accordance with the default country standard.,Verifique que la frecuencia nominal y el voltaje nominal coincidan con el marco del inversor y las regulaciones del pais. Verifique que la configuracion del grupo G5 Protecciones este de acuerdo con el estandar predeterminado del pais.,manual_hem3.pdf,239
